FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187bdca2256_151b,5334002,1304,Gerlachstraße
strassennamen.fid--3213a59_187bdca2256_151c,5334002,1305,Glatzer Straße
strassennamen.fid--3213a59_187bdca2256_151d,5334002,1306,Giselastraße
strassennamen.fid--3213a59_187bdca2256_151e,5334002,1307,Gleiwitzer Straße
strassennamen.fid--3213a59_187bdca2256_151f,5334002,1310,Prager Ring
strassennamen.fid--3213a59_187bdca2256_1520,5334002,1311,Goethestraße
strassennamen.fid--3213a59_187bdca2256_1521,5334002,1313,Goldbachstraße
strassennamen.fid--3213a59_187bdca2256_1522,5334002,1314,Goldberg
strassennamen.fid--3213a59_187bdca2256_1523,5334002,1315,Gottfriedstraße
strassennamen.fid--3213a59_187bdca2256_1524,5334002,1318,Gut-Dämme-Straße
strassennamen.fid--3213a59_187bdca2256_1525,5334002,1319,Grauenhofer Weg
strassennamen.fid--3213a59_187bdca2256_1526,5334002,1320,Gustav-Freytag-Straße
strassennamen.fid--3213a59_187bdca2256_1527,5334002,1321,Gregorstraße
strassennamen.fid--3213a59_187bdca2256_1528,5334002,1323,Grindelweg
strassennamen.fid--3213a59_187bdca2256_1529,5334002,1324,Gulpener Straße
strassennamen.fid--3213a59_187bdca2256_152a,5334002,1325,Großkölnstraße
strassennamen.fid--3213a59_187bdca2256_152b,5334002,1327,Grüneck
strassennamen.fid--3213a59_187bdca2256_152c,5334002,1328,Grüner Winkel
strassennamen.fid--3213a59_187bdca2256_152d,5334002,1329,Gut Steeg
strassennamen.fid--3213a59_187bdca2256_152e,5334002,1330,Guaitastraße
strassennamen.fid--3213a59_187bdca2256_152f,5334002,1332,Habsburgerallee
strassennamen.fid--3213a59_187bdca2256_1530,5334002,1334,Hackländerstraße
strassennamen.fid--3213a59_187bdca2256_1531,5334002,1336,Händelstraße
strassennamen.fid--3213a59_187bdca2256_1532,5334002,1338,Hainbuchenstraße
strassennamen.fid--3213a59_187bdca2256_1533,5334002,1340,Hammerweg
strassennamen.fid--3213a59_187bdca2256_1534,5334002,1342,Hanbrucher Straße
strassennamen.fid--3213a59_187bdca2256_1535,5334002,1343,Hanbrucher Weg
